language,repo_num,user_num,ranked_repo,tags
Nu,76,16,"[""itfrombit/nutils"",""Shadowfiend/pointy-haired-boss.tmbundle"",""Shadowfiend/vico-fill-in-the-blanks.tmbundle"",""itfrombit/nu_let_over_lambda"",""meric/parser"",""timburks/NuTravisCI"",""itfrombit/nu_minicallcc"",""Shadowfiend/vico-ensime.vicobundle"",""Shadowfiend/simple-build-tool.tmbundle"",""timburks/CONTROL""]",[]
Assembly,17576,5160,"[""leachim6/hello-world"",""augustl/halt"",""cliffordwolf/picorv32"",""ziutek/blas"",""chesterbr/2048-2600"",""programble/tetrasm"",""seanlynch/pynacl"",""amenonsen/tappet"",""FauxFaux/nanorc4"",""agentzh/salent""]",[]
Protocol Buffer,6596,103,"[""nnmatveev/idea-plugin-protobuf"",""evanphx/eventd-rfc"",""bradfitz/grpc-go16-demo"",""sqs/pbtypes"",""Flameeyes/gdef"",""mrcsparker/relang"",""kanzure/bips"",""bobbens/loadcaffe"",""timburks/ios-docs-samples"",""manveru/yasha""]",[]
QML,2603,527,"[""aportale/qtouchandlearn"",""pepijndevos/tincan"",""xdarklight/keystate-plasmoid"",""jaywink/share-to-diaspora"",""andy0130tw/terrarium-app"",""shovon/blow-face-example"",""gnufied/arecorder"",""gnufied/quickfm"",""eadz/cool-retro-term"",""audreyt/lit-app""]",[]
Inno Setup,34645,97,"[""stfx/innodependencyinstaller"",""mathiasbynens/toolbox"",""candera/ffw-balkans-setup""]",[]
Prolog,5590,1546,"[""semifor/twirc"",""tylergreen/PLisp"",""ljos/epictetus"",""coreyhaines/evercraft-prolog"",""moustaki/henry"",""moustaki/rstore"",""jpalumickas/dotfiles"",""coreyhaines/gildedrose_prolog"",""larsyencken/docker-vm"",""Sinjo/7languages""]","[""Science""]"
Perl6,1911,221,"[""perl6/perl6-examples"",""masak/007"",""jnthn/zavolaj"",""viklund/november"",""cjfields/bioperl6"",""moritz/json"",""masak/ufo"",""cosimo/perl6-lwp-simple"",""grondilu/libdigest-perl6"",""bessarabov/curry""]",[]
PostScript,2539,574,"[""tjmahr/GelmanHill"",""juba/intro-r"",""matthias-springer/master-thesis"",""ambs/music"",""lucaskanashiro/tcc"",""norpol/attac-opensource-vortrag-plakat"",""sjl/not-my-Thesis-but-someone-elses-im-proofreading"",""caioariede/PensePython2"",""cegme/pi-castle-journal"",""seejohnrun/brooklynjs.github.io""]","[""Interactive mode""]"
NewLisp,131,20,"[""bernerdschaefer/sgheme""]",[]
SystemVerilog,702,224,"[""zmughal/silver"",""Paulche/course_work32"",""jmarshall/pindel"",""KennethWilke/capi-mmio"",""KennethWilke/capi-systemverilog"",""KennethWilke/shift-register""]",[]
Objective-J,597,395,"[""cappuccino/cappuccino"",""tolmasky/language"",""luddep/LPKit"",""cappuccino/issues"",""saikat/DrawTogether"",""saikat/SCAuth"",""eliaskg/Cappuccino-X-Tornado"",""tbalthazar/cappuccinocasts-episodes"",""Me1000/CappuTweetie"",""cacaodev/cappuccino""]",[]
Awk,701,142,"[""cosimo/vlogdump"",""dubiousjim/awkenough"",""sstephenson/bashprof"",""paradigm/digmbot"",""iiSeymour/mpttawk"",""nuex/invpdf"",""smtlaissezfaire/awk_examples"",""soveran/ers"",""nuex/tunehomie"",""nuex/jennifer""]","[""Procedural"",""Scripting""]"
Visual Basic,107713,433,"[""mono/mono-basic"",""luislavena/service_wrapper"",""badcodes/vb6"",""jystic/idris-vba"",""robertpfeiffer/hello-world"",""mkremer/echo_service_client_vb"",""amorilia/buildenv"",""samccone/lock-master"",""novas0x2a/Command-T"",""pointybeard/OziExplorer-Batch-Map-Convert""]","[""Object-oriented""]"
Pascal,12413,4693,"[""tristan2468/hgdc-x"",""JamesKovacs/cm-cqrs"",""kylecordes/mathdrill"",""tokibito/delphi-argparse"",""esasse/delphi-stathat"",""siers/snake"",""tokibito/dokan-delphi"",""csteeg/BoC.Sitecore.ProjectStarter"",""bvp/Student-s-registration-delays"",""icy/ktml""]","[""Imperative""]"
